verb1,verb2,vp1,vp2,subj,prn,name1,name2
did,does,met the Illinois governor at a Greek restaurant,finds humor in the worst situations,The teacher,he,Erika,Cameron
did,does,opened a new bank account today,volunteers regularly at a local church,The reporter,she,Adrian,Autumn
did,does,used to play badminton,volunteers regularly at a local church,The painter,he,Martin,Haley
did,does,recently adopted a rescue dog,has two Bengal cats,The journalist,she,Avery,Taylor
did,does,missed a train this morning,drinks two bottles of wine every day,The professor,she,Alexander,Anthony
did,does,used to dream to become a translator,usually drives three hours a day,The plumber,she,Gage,Lillian
did,does,committed a felony,has a neat handwriting,The reporter,she,Sebastian,Francisco
did,does,walked toward the stray dog,has lots of Korean friends,The pharmacist,she,Abigail,Alondra
did,does,had a bad dream,has a pianist friend,The sculptor,he,Owen,John
did,does,met the Illinois governor at a Greek restaurant,looks confident,The nurse,he,Cesar,Christina
did,has,painted the house on Thanksgiving,has been keeping a diary for 15 years,The firefighter,she,Christina,Roberto
did,has,performed a piece by Mozart,has undergone chemotherapy,The researcher,he,Veronica,Harrison
did,has,bought an ice cream cake for dessert,has lost a child,The violinist,she,Isabel,Sebastian
did,has,walked toward the stray dog,has been keeping a diary for 15 years,The runner,he,Jorge,Grace
did,has,walked toward the stray dog,has been dreaming of buying a private jet,The caterer,she,Laura,Caleb
did,has,used to get high grades in high school,has worked in the industry for more than 10 years,The nun,she,Meghan,Luke
did,has,bought an ice cream cake for dessert,has been participating in marathons since last year,The climber,she,Madelyn,Haley
did,has,seemed very eager to return home,has just turned 40,The reporter,she,Camryn,Dominic
did,has,used to sing in a choir on the weekends,has collected about 100 movie posters so far,The industrialist,he,Ariana,Raymond
did,has,went to the post office,has been checking the clock for five hours,The athlete,he,Alondra,Tiffany
did,is,forgot to do the laundry,is a U.S. immigrant from Vietnam,The analyst,he,Jonah,Aaron
did,is,opened a new bank account today,is wearing a wedding ring,The industrialist,he,Makayla,Victor
did,is,met the Illinois governor at a Greek restaurant,is extremely fickle and demanding,The publicist,she,Sean,Nathan
did,is,hired a teenager to mow the lawn,is sitting on the blue couch,The soccer player,he,Trenton,Nicholas
did,is,suggested a good cleaning company to Ashley,is reliably clam under pressure,The customer,she,Zachary,Alondra
did,is,opened a new bank account today,is discreet and good at thinking fast,The detective,she,Shawn,Rebecca
did,is,hired a teenager to mow the lawn,is extremely fickle and demanding,The choreographer,she,Alejandro,Henry
did,is,got an autograph from a famous book writer,is about to fall asleep,The scientist,he,Joseph,Andres
did,is,used to get high grades in high school,is eccentric and difficult to control,The psychologist,she,Kathryn,Benjamin
did,is,used to drink three cups of coffee every day,is about to fall asleep,The programmer,she,Allison,Lindsay
did,was,forgot to lock the door,was on a diet,The swimmer,she,Lucas,Arianna
did,was,had a flat tire,was talking to the tall nurse,The optician,she,Cole,Shelby
did,was,hired a teenager to mow the lawn,was nervous about the upcoming debate,The counselor,he,Gregory,Elizabeth
did,was,used to play for the youth soccer team in 2009,was sitting on a rocking chair,The soccer player,he,Maya,Jordyn
did,was,used to dream to become a translator,was mentioned in the newspaper,The volunteer,he,Carly,Heather
did,was,missed a train this morning,was pulled over for drunk driving,The teacher,he,Gavin,Jeffrey
did,was,went to Target to buy some carrots,was isolated from society for a long time,The inspector,he,Ricardo,Peter
did,was,used to play for the youth soccer team in 2009,was famous in Italy,The motorcyclist,he,Samuel,Jasmin
did,was,felt so sleepy all day,was happy to be outside in the sunny weather,The animator,he,Travis,Michaela
did,was,went out for a date,was solving a crossword puzzle,The anthropologist,he,Evan,Luis
did,would,won the annual cake-baking contest,would call the landlord every night,The attendant,he,Andres,Shawn
did,would,had a nightmare for the first time in years,would read books at a park nearby,The columnist,he,Adriana,Mitchell
did,would,met the Illinois governor at a Greek restaurant,would go to the park for a walk in the evenings,The dentist,he,Lily,Heather
did,would,got engaged this month,would eat bananas at night,The nanny,she,Arianna,Katie
did,would,biked to downtown yesterday,would wake up early on Christmas Eve,The barista,he,Adrian,Margaret
did,would,went to the post office,would sleep on the couch,The librarian,he,Mckenna,Rachel
did,would,came back home late at night yesterday,would go out for a picnic on Sundays,The counselor,he,Shawn,Andre
did,would,had a nightmare for the first time in years,would make pasta for dinner,The animator,he,Jasmine,Avery
did,would,forgot to do the laundry,would wear glasses in the day time,The motorcyclist,he,Nicholas,Skylar
did,would,seemed very eager to return home,would wear glasses in the day time,The nanny,she,Garrett,Steven
does,did,has lots of interest in French cuisine,recently adopted a rescue dog,The nurse,he,Marco,Elizabeth
does,did,occasionally writes a blog about historical figures,had a good sleep,The industrialist,he,Omar,Isaac
does,did,always has fun stories to tell,decided to purchase a minivan,The receptionist,he,Mckenna,Katie
does,did,usually trains all year for the national competition,felt so sleepy all day,The hairdresser,he,Isabel,Diana
does,did,wants to get married soon,took a flight from Newark to Los Angeles,The therapist,she,Sofia,Cody
does,did,hates horror movies,prepared for the meal,The judge,she,Hanna,Makenzie
does,did,has three sons,used to get high grades in high school,The soccer player,he,Adrian,Skylar
does,did,plans to go apple picking tomorrow,worked out late at night,The diplomat,he,Mario,Jasmine
does,did,frequently gives extreme opinions without backing them up,prepared for the meal,The attendant,he,Cassandra,Bailey
does,did,reads eight books a month,hired a teenager to mow the lawn,The overseer,she,Dalton,Alexandra
does,has,occasionally writes a blog about historical figures,has been in town for 10 years,The barista,he,Maggie,Trinity
does,has,wears a fancy watch,has been checking the clock for five hours,The Marine,he,Hector,Shelby
does,has,laughs very loudly,has been collecting fridge magnets for five years,The magician,he,Jillian,Rebecca
does,has,plans to go apple picking tomorrow,has been earning money by making YouTube videos,The tenant,she,Melissa,Makenzie
does,has,plans to go apple picking tomorrow,has lost a child,The architect,he,Juan,Hunter
does,has,rides a bike to the nearest park,has been working out for two hours,The farmer,he,Parker,Chloe
does,has,has lots of Korean friends,has been in town for 10 years,The chemist,he,Evelyn,Jasmin
does,has,occasionally writes a blog about historical figures,has been staying in Hawaii for two months,The rapper,he,Chelsea,Xavier
does,has,knows some card tricks,has been earning money by making YouTube videos,The teacher,he,Camryn,Patrick
does,has,rides a bike to the nearest park,has been in town for 10 years,The nun,she,Andrea,Isabel
does,is,likes bungee jumping,is wearing a wedding ring,The chemist,he,Amber,Kendra
does,is,has a good recipe for cooking chicken breast,is always trustworthy,The columnist,he,Ian,Marcus
does,is,loves reading Russian books,is not good at riding a bike,The scientist,he,Henry,Shawn
does,is,enjoys extreme sports,is always trustworthy,The driver,she,Carly,Diana
does,is,has a very slick hairstyle,is extremely fickle and demanding,The banker,she,Nathaniel,Preston
does,is,climbs trees for recreation,is never late,The climber,she,Dakota,Laura
does,is,wears a fancy watch,is reliably clam under pressure,The stewardess,she,Benjamin,Danielle
does,is,has a good recipe for cooking chicken breast,is wearing a wedding ring,The solider,he,Ariana,Cassandra
does,is,has a pianist friend,is an avid foodie,The banker,she,Jose,Jorge
does,is,finds humor in the worst situations,is not good at riding a bike,The senator,she,Garrett,Joseph
does,was,laughs very loudly,was nervous about the stressful situation,The author,she,Alexa,Nathaniel
does,was,finds humor in the worst situations,was nervous about the upcoming debate,The judge,she,Angelica,Aaron
does,was,hates snow,was listening to classical music,The cashier,she,Bailey,Gabriela
does,was,cares a lot about the environment,was born in 1992,The comedian,he,Carlos,Kelly
does,was,has a pianist friend,was pulled over for drunk driving,The surgeon,he,Carlos,Amanda
does,was,has lots of friends,was being chased by a few people,The housekeeper,he,Dominic,Alexandria
does,was,has red hair,was mentioned in the newspaper,The comedian,he,Nicole,Mackenzie
does,was,enjoys baking apple pies,was born in 1992,The florist,he,Katie,Alexandria
does,was,takes a vitamin everyday,was being chased by a few people,The librarian,he,Melissa,Marco
does,was,wears a fancy watch,was upset about the cleanliness of City Hall,The waitress,she,Wyatt,Richard
does,would,occasionally writes a blog about historical figures,would go to the movies every week,The soccer player,he,Charles,Christina
does,would,usually drives three hours a day,would have oatmeal for breakfast,The volunteer,he,Alejandro,Roberto
does,would,has two sisters,would wear a yellow hat on sunny days,The therapist,she,Jaden,Harrison
does,would,has a neat handwriting,would wear a yellow hat on sunny days,The actress,she,Ethan,Gregory
does,would,usually drives three hours a day,would stay out late on the weekends,The colleague,she,Travis,Bethany
does,would,loves reading Russian books,would eat bananas at night,The researcher,he,Nicolas,Blake
does,would,never forgets to greet people with with a big smile,would buy lottery tickets on the weekends,The musician,he,Courtney,Lindsey
does,would,hates horror movies,would swim in the Lake on Monday mornings,The overseer,she,Steven,Max
does,would,finds humor in the worst situations,would make pasta for dinner,The reporter,she,Erik,Cole
does,would,occasionally writes a blog about historical figures,would drive to the nearest library when the weather is bad,The make-up artist,he,Jaden,Adam
has,did,has been keeping a diary for 15 years,brought a new plant home,The technician,she,Logan,Mariah
has,did,has lost a child,used to go to school in Japan,The hairdresser,he,Emmanuel,Alan
has,did,has been neighbors with the mayor,attended a free yoga lesson,The director,she,Naomi,Maya
has,did,has just turned 40,had a car accident last night,The diver,she,Alexandra,Cesar
has,did,has been a long time fan of Ariana Grande,used to visit the gourmet regularly,The soccer player,he,Brenda,Nathaniel
has,did,has been staying in Hawaii for two months,went out for a date,The anthropologist,he,Taylor,Alex
has,did,has been working out for two hours,forgot to do the laundry,The swimmer,she,Elizabeth,Conner
has,did,has been chosen to audition for the All Stars game,forgot to lock the door,The accountant,he,Crystal,Arianna
has,did,has undergone chemotherapy,used to play badminton,The Marine,he,Kaylee,Andres
has,did,has been dreaming of buying a private jet,went to the post office,The model,she,Natalie,Carly
has,does,has been chosen to audition for the All Stars game,volunteers regularly at a local church,The technician,she,Jayden,Naomi
has,does,has worked in the industry for more than 10 years,always greets kindly,The shop owner,he,Luis,Alec
has,does,has been earning money by making YouTube videos,has strong opinions about all kinds of things,The firefighter,she,Colin,Edwin
has,does,has been dreaming of buying a private jet,has a very slick hairstyle,The detective,she,Zoe,Brady
has,does,has worked in the industry for more than 10 years,frequently gives extreme opinions without backing them up,The soccer player,he,Morgan,Ashley
has,does,has been working out for two hours,usually drives three hours a day,The musician,he,Alejandro,Joseph
has,does,has been a fan of Rihanna since her debut,takes a vitamin everyday,The receptionist,he,Marissa,Jillian
has,does,has been neighbors with the mayor,rides a bike to the nearest park,The customer,she,Isabelle,Mckenna
has,does,has been earning money by making YouTube videos,has lots of friends,The receptionist,he,Tristan,Alicia
has,does,has worked in the industry for more than 10 years,has two sisters,The nun,she,Molly,Cameron
has,is,has been working out for two hours,is reading a newly released sci-fi book,The optician,she,Cassidy,Sierra
has,is,has been neighbors with the mayor,is a U.S. immigrant from Vietnam,The volunteer,he,Kenneth,Steven
has,is,has undergone chemotherapy,is learning Spanish,The attendant,he,Heather,Jacqueline
has,is,has been staying in Hawaii for two months,is reading a newly released sci-fi book,The scientist,he,Miguel,Maria
has,is,has collected about 100 movie posters so far,is good at communication,The bartender,he,Madison,Edward
has,is,has been staying in Hawaii for two months,is always on time,The chef,he,Meghan,Jasmin
has,is,has been neighbors with the mayor,is an avid foodie,The publicist,she,Dakota,Jasmine
has,is,has been checking the clock for five hours,is subscribed to seventy different newsletters,The caterer,she,Dalton,Jonathan
has,is,has been in town for 10 years,is reliably clam under pressure,The technician,she,Cody,Carly
has,is,has been around for a while,is standing next to the tree,The producer,he,Preston,Laura
has,was,has been dreaming of buying a private jet,was involved in a car accident the other day,The technician,she,Martin,Avery
has,was,has been around for a while,was born in Ecuador,The attendant,he,Alexander,Cole
has,was,has been earning money by making YouTube videos,was listening to classical music,The violinist,she,Kayla,Shelby
has,was,has been checking the clock for five hours,was famous in Italy,The writer,he,Daisy,Jasmine
has,was,has been checking the clock for five hours,was happy to be outside in the sunny weather,The dancer,he,Samuel,Anna
has,was,has been around for a while,was famous in Italy,The florist,he,Megan,Marissa
has,was,has worked in the industry for more than 10 years,was pulled over for drunk driving,The photographer,she,Leslie,Jennifer
has,was,has lost a child,was scared about the loud noises coming from a nearby building,The bartender,he,Kyle,Adrian
has,was,has lost a child,was surprised about the exciting news,The comedian,he,Charles,Kara
has,was,has been chosen to audition for the All Stars game,was angry,The detective,she,Desiree,Jack
has,would,has been keeping a diary for 15 years,would buy lottery tickets on the weekends,The nanny,she,Camryn,Madison
has,would,has lost a child,would go to the park for a walk in the evenings,The linguist,she,Hailey,Dominic
has,would,has been neighbors with the mayor,would drink coffee after lunch,The solider,he,Timothy,Malik
has,would,has been collecting fridge magnets for five years,would have oatmeal for breakfast,The researcher,he,Jordan,Selena
has,would,has been neighbors with the mayor,would drive to the nearest library when the weather is bad,The journalist,she,Bethany,Isabel
has,would,has been neighbors with the mayor,would sleep on the couch,The counselor,he,Abigail,Cameron
has,would,has collected about 100 movie posters so far,would drink coffee after lunch,The actor,he,Connor,Elijah
has,would,has collected about 100 movie posters so far,would always be late for meetings,The banker,she,Antonio,Christina
has,would,has been a fan of Rihanna since her debut,would sleep on the couch,The anthropologist,he,Landon,Brendan
has,would,has been checking the clock for five hours,would wake up early on Christmas Eve,The inspector,he,Lily,Edwin
is,did,is reading a newly released sci-fi book,hired a teenager to mow the lawn,The attendant,he,Sarah,Brianna
is,did,is quite risk averse,met the Illinois governor at a Greek restaurant,The florist,he,Kendall,Alejandro
is,did,is planning a honeymoon,got engaged this month,The customer,she,Lindsey,Briana
is,did,is always trustworthy,used to visit the gourmet regularly,The gardener,he,Mark,Tanner
is,did,is reliably clam under pressure,downloaded a rideshare app to go to the airport,The plumber,she,Alexia,Wyatt
is,did,is reliably clam under pressure,forgot to lock the door,The ballerina,she,Shawn,Mitchell
is,did,is a big fan of Harry Potter,used to play for the youth soccer team in 2009,The accountant,he,Jonathan,Brian
is,did,is reading a newly released sci-fi book,looked concerned about the weather tomorrow,The swimmer,she,Edwin,Emmanuel
is,did,is an avid foodie,went to the post office,The hairdresser,he,Angela,Devon
is,did,is good at communication,got stung by a wasp the other day,The fisherman,he,Miranda,Victor
is,does,is standing next to the tree,has red hair,The nun,she,Max,Liam
is,does,is tall,has strong opinions about all kinds of things,The florist,he,Gabriela,George
is,does,is a proud New Yorker,frequently gives extreme opinions without backing them up,The musician,he,Jorge,Mario
is,does,is standing next to the tree,usually trains all year for the national competition,The anthropologist,he,Carter,Isabel
is,does,is a cordial person,enjoys having barbecues near the beach,The dentist,he,Alex,Madeline
is,does,is about to fall asleep,rides a bike to the nearest park,The tenant,she,Danielle,Ava
is,does,is reading a newly released sci-fi book,takes a vitamin everyday,The diver,she,Claire,Vincent
is,does,is learning Spanish,hates horror movies,The director,she,Ava,Sara
is,does,is standing next to the tree,hates horror movies,The writer,he,Javier,Jocelyn
is,does,is eccentric and difficult to control,usually drives three hours a day,The make-up artist,he,Payton,Kendra
is,has,is tall,has been a long time fan of Ariana Grande,The manager,he,Adriana,Heather
is,has,is a U.S. immigrant from Vietnam,has collected about 100 movie posters so far,The model,she,Vanessa,Aidan
is,has,is always trustworthy,has worked in the industry for more than 10 years,The reporter,she,Amanda,Jonathan
is,has,is always on time,has collected about 100 movie posters so far,The cheerleader,she,Destiny,Antonio
is,has,is reading a newly released sci-fi book,has been keeping a diary for 15 years,The photographer,she,Charles,Cesar
is,has,is good looking,has been around for a while,The publicist,she,Eric,Jada
is,has,is a proud New Yorker,has been staying in Hawaii for two months,The therapist,she,Ashley,Danielle
is,has,is lying on the red futon,has worked in the industry for more than 10 years,The stewardess,she,Meghan,Isaiah
is,has,is always trustworthy,has been around for a while,The nanny,she,Gregory,Brayden
is,has,is about to fall asleep,has been collecting fridge magnets for five years,The anthropologist,he,Erica,Levi
is,was,is good at communication,was disturbed by speeding cars outside,The bartender,he,Andre,Miranda
is,was,is only in it for the money,was growing quite upset about the smell from the sink,The caterer,she,Skylar,Sierra
is,was,is good at communication,was angry,The fisherman,he,Manuel,Lauren
is,was,is about to fall asleep,was on a diet,The violinist,she,Antonio,Camryn
is,was,is planning a honeymoon,was surprised about the exciting news,The optician,she,Miguel,Harrison
is,was,is quite risk averse,was pulled over for drunk driving,The runner,he,Julia,Veronica
is,was,is lying on the red futon,was born in 1992,The linguist,she,Melissa,Oscar
is,was,is standing next to the tree,was growing quite upset about the smell from the sink,The nun,she,Brian,Claire
is,was,is never late,was excited about the good news,The director,she,Michaela,William
is,was,is good at board games,was singing a song,The psychologist,she,Micah,Holly
is,would,is planning a honeymoon,would go skiing in the winters,The nanny,she,Katelyn,Amy
is,would,is always trustworthy,would buy lottery tickets on the weekends,The florist,he,Peter,Mariah
is,would,is good at communication,would stay out late on the weekends,The nun,she,Selena,Lydia
is,would,is only in it for the money,would stay out late on the weekends,The tenant,she,Alex,Alyssa
is,would,is about to fall asleep,would go to the movies every week,The plumber,she,Ian,Spencer
is,would,is wearing a wedding ring,would drink coffee after lunch,The photographer,she,Sarah,Timothy
is,would,is a proud New Yorker,would go skiing in the winters,The designer,she,Britney,Anthony
is,would,is extremely fickle and demanding,would go skiing in the winters,The caterer,she,Hector,Rebecca
is,would,is always on time,would always be late for meetings,The shop owner,he,Maria,Gabriel
is,would,is subscribed to seventy different newsletters,would read books at a park nearby,The pilot,he,Richard,Julia
